|2025-04-24 09:25:49  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 09:25:49  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 09:25:52  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-24 09:25:52  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-24 09:25:53  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-24 15:32:44  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 15:32:44  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 15:32:44  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 15:32:44  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 15:32:45  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-24 15:32:45  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-24 15:32:46  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-24 15:38:47  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 15:38:47  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 15:38:49  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-24 15:38:49  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-24 15:38:50  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-24 15:58:27  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 15:58:27  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 15:58:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-24 15:58:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-24 15:58:28  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-24 15:58:31  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 15:58:31  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 15:58:31  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-24 15:58:31  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-24 15:58:32  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-24 16:00:24  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 16:00:24  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-24 16:00:25  |   TotalITRChkController.List  |   GetTotalITRChk1ListData 실행   |
|2025-04-24 16:00:25  |   TotalITRChkController.List  |   조회된 데이터: 0건   |
|2025-04-24 16:00:26  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-24 16:25:52  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-24 16:25:52  |   VCBChkController.List  |   조회된 데이터: 14건   |
